timestamp,actual_load,forecast_load,error
2026-03-01 00:00:00,1.9346,1.9174,-0.0172
2026-03-01 00:15:00,1.9681,1.9374,-0.0307
2026-03-01 00:30:00,1.512,2.0235,0.5114
2026-03-01 00:45:00,1.6352,1.613,-0.0221
2026-03-01 01:00:00,1.715,1.5872,-0.1277
2026-03-01 01:15:00,1.1001,1.6157,0.5156
2026-03-01 01:30:00,1.3946,1.4616,0.0669
2026-03-01 01:45:00,1.9678,2.6452,0.6774
2026-03-01 02:00:00,1.5428,2.4071,0.8643
2026-03-01 02:15:00,1.4549,1.8836,0.4287
2026-03-01 02:30:00,2.0442,1.894,-0.1503
2026-03-01 02:45:00,2.0846,2.1344,0.0498
2026-03-01 03:00:00,2.0234,2.0614,0.038
2026-03-01 03:15:00,1.9951,1.9457,-0.0494
2026-03-01 03:30:00,1.9058,1.933,0.0272
2026-03-01 03:45:00,1.326,1.8272,0.5012
2026-03-01 04:00:00,1.3128,1.456,0.1431
2026-03-01 04:15:00,0.8906,1.4677,0.5771
2026-03-01 04:30:00,0.9262,1.2905,0.3643
2026-03-01 04:45:00,1.4948,1.1968,-0.298
2026-03-01 05:00:00,1.342,1.448,0.106
2026-03-01 05:15:00,1.4088,1.395,-0.0138
2026-03-01 05:30:00,1.0482,1.3743,0.3261
2026-03-01 05:45:00,1.1167,1.2875,0.1709
2026-03-01 06:00:00,1.217,1.2751,0.0581
2026-03-01 06:15:00,1.071,1.381,0.31
2026-03-01 06:30:00,0.9297,1.2029,0.2732
2026-03-01 06:45:00,1.561,1.1751,-0.3859
2026-03-01 07:00:00,1.399,1.4276,0.0286
2026-03-01 07:15:00,1.212,1.3824,0.1704
2026-03-01 07:30:00,1.543,1.4209,-0.1221
2026-03-01 07:45:00,1.5943,1.6849,0.0906
2026-03-01 08:00:00,1.6685,1.813,0.1445
2026-03-01 08:15:00,3.5718,2.8235,-0.7482
2026-03-01 08:30:00,3.2947,3.6838,0.3891
2026-03-01 08:45:00,2.4783,3.0022,0.5239
2026-03-01 09:00:00,1.1859,3.1965,2.0106
2026-03-01 09:15:00,3.1838,1.5129,-1.6709
2026-03-01 09:30:00,3.4402,2.9938,-0.4464
2026-03-01 09:45:00,2.1652,2.9577,0.7925
2026-03-01 10:00:00,2.5192,1.922,-0.5972
2026-03-01 10:15:00,2.4803,2.7362,0.2559
2026-03-01 10:30:00,3.0268,2.8059,-0.2209
2026-03-01 10:45:00,2.6267,3.0611,0.4344
2026-03-01 11:00:00,2.6079,2.3353,-0.2726
2026-03-01 11:15:00,3.5445,2.2925,-1.252
2026-03-01 11:30:00,1.2486,3.0139,1.7652
2026-03-01 11:45:00,1.771,1.2775,-0.4935
2026-03-01 12:00:00,1.9975,2.0239,0.0264
2026-03-01 12:15:00,2.4117,1.8352,-0.5765
2026-03-01 12:30:00,1.284,2.17,0.886
2026-03-01 12:45:00,1.2201,2.0628,0.8427
2026-03-01 13:00:00,0.9047,1.4871,0.5824
2026-03-01 13:15:00,0.6211,1.8531,1.2321
2026-03-01 13:30:00,1.6366,1.5988,-0.0378
2026-03-01 13:45:00,4.1081,2.3887,-1.7194
2026-03-01 14:00:00,3.9592,5.1847,1.2255
2026-03-01 14:15:00,3.6409,4.5366,0.8957
2026-03-01 14:30:00,3.5828,4.1408,0.5579
2026-03-01 14:45:00,3.5088,4.2787,0.7699
2026-03-01 15:00:00,4.03,3.5784,-0.4516
2026-03-01 15:15:00,2.2593,3.8858,1.6265
2026-03-01 15:30:00,1.0849,2.3925,1.3075
2026-03-01 15:45:00,0.4662,1.7309,1.2647
2026-03-01 16:00:00,0.6935,1.2273,0.5338
2026-03-01 16:15:00,0.9913,1.1824,0.1912
2026-03-01 16:30:00,0.7559,1.7635,1.0076
2026-03-01 16:45:00,0.2465,1.2476,1.0011
2026-03-01 17:00:00,0.5848,0.6178,0.0329
2026-03-01 17:15:00,0.772,0.9583,0.1863
2026-03-01 17:30:00,0.4521,1.0074,0.5554
2026-03-01 17:45:00,0.8187,0.9015,0.0828
2026-03-01 18:00:00,0.7103,1.3508,0.6405
2026-03-01 18:15:00,1.1421,1.166,0.0238
2026-03-01 18:30:00,1.1572,1.7168,0.5596
2026-03-01 18:45:00,1.1208,1.8187,0.6979
2026-03-01 19:00:00,1.7491,1.8265,0.0774
2026-03-01 19:15:00,2.2618,1.993,-0.2688
2026-03-01 19:30:00,1.7729,2.4875,0.7145
2026-03-01 19:45:00,1.9178,1.8762,-0.0415
2026-03-01 20:00:00,1.9539,1.9774,0.0235
2026-03-01 20:15:00,1.3706,2.1627,0.792
2026-03-01 20:30:00,1.6752,1.922,0.2468
2026-03-01 20:45:00,2.3845,2.0978,-0.2867
2026-03-01 21:00:00,2.1472,2.8894,0.7422
2026-03-01 21:15:00,1.9978,2.2296,0.2318
2026-03-01 21:30:00,1.6985,1.9504,0.2519
2026-03-01 21:45:00,2.2163,1.8124,-0.4039
2026-03-01 22:00:00,1.8235,2.0625,0.239
2026-03-01 22:15:00,2.2782,1.7867,-0.4915
2026-03-01 22:30:00,2.0104,2.1159,0.1055
2026-03-01 22:45:00,1.6534,1.887,0.2335
2026-03-01 23:00:00,1.3814,1.7067,0.3252
2026-03-01 23:15:00,1.8523,1.5521,-0.3002
2026-03-01 23:30:00,1.2805,1.6668,0.3863
2026-03-01 23:45:00,1.1426,1.3807,0.2381
2026-03-02 00:00:00,1.1744,1.2452,0.0707
2026-03-02 00:15:00,1.5317,1.2915,-0.2401
